Period,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over
2005-01-31,129000,265000,336000,381000,364000,172000,115000
2005-02-28,144000,268000,295000,354000,359000,192000,123000
2005-03-31,167000,250000,297000,352000,375000,216000,104000
2005-04-30,139000,239000,342000,378000,341000,183000,111000
2005-05-31,131000,205000,332000,317000,337000,161000,93000
2005-06-30,121000,182000,276000,260000,321000,122000,126000
2005-07-31,118000,182000,295000,279000,304000,137000,122000
2005-08-31,116000,199000,292000,294000,293000,167000,126000
2005-09-30,105000,182000,324000,301000,298000,163000,132000
2005-10-31,99000,158000,302000,293000,315000,159000,135000
2005-11-30,81000,162000,277000,280000,328000,164000,99000
2005-12-31,92000,149000,295000,262000,306000,177000,84000
2006-01-31,73000,153000,233000,239000,272000,187000,96000
2006-02-28,94000,210000,322000,273000,306000,164000,82000
2006-03-31,124000,192000,271000,309000,282000,144000,74000
2006-04-30,125000,245000,290000,297000,239000,172000,77000
2006-05-31,111000,179000,283000,306000,278000,137000,55000
2006-06-30,93000,145000,257000,237000,216000,148000,81000
2006-07-31,148000,174000,248000,296000,222000,179000,95000
2006-08-31,123000,193000,216000,281000,288000,167000,131000
2006-09-30,80000,189000,233000,275000,245000,183000,121000
2006-10-31,71000,160000,203000,194000,199000,165000,112000
2006-11-30,98000,162000,206000,215000,223000,163000,120000
2006-12-31,96000,146000,197000,178000,231000,176000,50000
2007-01-31,90000,130000,264000,234000,245000,179000,97000
2007-02-28,137000,168000,280000,247000,273000,133000,84000
2007-03-31,107000,145000,303000,239000,302000,151000,96000
2007-04-30,135000,152000,329000,195000,283000,139000,84000
2007-05-31,110000,132000,291000,184000,240000,142000,90000
2007-06-30,108000,157000,234000,204000,241000,133000,126000
2007-07-31,85000,204000,240000,286000,266000,156000,147000
2007-08-31,90000,216000,244000,233000,272000,160000,101000
2007-09-30,104000,204000,255000,265000,256000,158000,111000
2007-10-31,87000,200000,204000,275000,290000,180000,105000
2007-11-30,111000,188000,278000,282000,274000,174000,122000
2007-12-31,105000,186000,255000,265000,273000,146000,113000
2008-01-31,137000,214000,262000,281000,298000,163000,138000
2008-02-29,142000,202000,228000,248000,294000,198000,137000
